points,pass_atts,pass_cmps,pass_yds,pass_tds,pass_ints,pass_2pts,rush_atts,rush_yds,rush_tds,rush_2pts,recs,rec_yds,rec_tds,rec_2pts,fumbles_lost,is_QB,is_RB,is_WR,is_TE,prev_points
144.00,327,184,"2,206",11,14,0,25,127,3,0,0,0,0,0,4,1,0,0,0,156.00
7.00,7,3,38,1,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,143.00
7.00,10,4,52,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,130.00
277.00,478,289,"3,369",19,10,0,104,639,1,0,0,0,0,0,5,1,0,0,0,116.00
22.00,44,30,301,2,0,0,8,-11,0,0,0,0,0,0,1,1,0,0,0,106.00
142.00,311,186,"2,163",13,10,0,16,68,0,0,0,0,0,0,3,1,0,0,0,106.00
387.00,597,395,"4,727",39,15,2,24,-24,0,0,0,0,0,0,2,1,0,0,0,105.00
10.00,35,18,175,0,2,0,9,29,1,0,0,0,0,0,0,1,0,0,0,103.00
23.00,75,41,400,2,2,0,6,-2,0,0,0,0,0,0,0,1,0,0,0,76.00
24.00,41,24,303,3,2,0,6,-1,0,0,0,0,0,0,0,1,0,0,0,72.00
27.00,71,41,425,3,4,0,9,18,0,0,0,0,0,0,0,1,0,0,0,69.00
27.00,71,41,425,3,4,0,9,18,0,0,0,0,0,0,0,1,0,0,0,69.00
26.00,77,45,435,2,2,0,10,35,0,0,0,0,0,0,1,1,0,0,0,51.00
329.00,435,304,"3,705",34,9,0,26,61,0,0,0,0,0,0,3,1,0,0,0,50.00
85.00,179,107,"1,412",8,7,0,5,4,0,0,0,0,0,0,2,1,0,0,0,48.00
65.00,131,76,838,5,3,0,16,52,1,0,0,0,0,0,0,1,0,0,0,43.00
65.00,131,76,838,5,3,0,16,52,1,0,0,0,0,0,0,1,0,0,0,43.00
163.00,309,198,"2,418",14,11,0,34,87,1,0,0,0,0,0,3,1,0,0,0,39.00
17.00,48,26,223,2,1,0,3,9,0,0,0,0,0,0,0,1,0,0,0,35.00
45.00,121,64,604,3,2,0,26,153,0,0,0,0,0,0,2,1,0,0,0,32.00
-3.00,10,5,57,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,32.00
0.00,4,3,64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.00
0.00,4,3,64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.00
168.00,367,219,"2,525",13,13,0,59,238,1,0,0,0,0,0,3,1,0,0,0,23.00
131.00,284,180,"2,001",12,9,0,16,36,0,0,0,0,0,0,3,1,0,0,0,21.00
7.00,19,12,129,1,2,0,2,3,0,0,0,0,0,0,0,1,0,0,0,14.00
7.00,19,12,129,1,2,0,2,3,0,0,0,0,0,0,0,1,0,0,0,14.00
67.00,128,91,"1,057",4,3,0,16,66,1,0,0,0,0,0,1,1,0,0,0,11.00
67.00,128,91,"1,057",4,3,0,16,66,1,0,0,0,0,0,1,1,0,0,0,11.00
67.00,128,91,"1,057",4,3,0,16,66,1,0,0,0,0,0,1,1,0,0,0,11.00
67.00,128,91,"1,057",4,3,0,16,66,1,0,0,0,0,0,1,1,0,0,0,11.00
2.00,5,4,60,0,0,0,2,-3,0,0,0,0,0,0,0,1,0,0,0,8.00
25.00,93,45,562,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.00
0.00,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.00
96.00,185,105,"1,326",7,2,0,20,90,0,0,0,10,0,0,0,1,0,0,0,3.00
96.00,185,105,"1,326",7,2,0,20,90,0,0,0,10,0,0,0,1,0,0,0,3.00
0.00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.00
58.00,97,65,701,5,0,0,8,24,0,0,0,0,0,0,0,1,0,0,0,1.00
2.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,1,0,0,0,0.00
2.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,1,0,0,0,0.00
2.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,1,0,0,0,0.00
0.00,4,2,21,0,0,0,2,-2,0,0,0,0,0,0,0,1,0,0,0,0.00
103.00,229,145,"1,657",8,7,0,10,10,1,0,1,0,0,0,1,1,0,0,0,0.00
12.00,27,19,182,1,0,0,10,9,0,0,0,0,0,0,0,1,0,0,0,0.00
7.00,28,16,157,0,0,0,4,15,0,0,0,0,0,0,0,1,0,0,0,0.00
101.00,240,132,"1,711",7,5,1,25,63,0,0,0,0,0,0,0,1,0,0,0,-1.00
101.00,240,132,"1,711",7,5,1,25,63,0,0,0,0,0,0,0,1,0,0,0,-1.00
